StateID;StateName;Latitude;Longitude
41336;Johor;1.934400;103.358727
41325;Kedah;6.155672;100.569649
41367;Kelantan;6.127463;102.242287
41401;Kuala Lumpur;3.140853;101.693207
41415;Labuan;5.285153;115.247787
41324;Melaka;2.200844;102.240143
41332;Negeri Sembilan;2.731813;102.252502
41335;Pahang;3.974341;102.438057
41330;Perak;4.693950;101.117577
41380;Perlis;6.443589;100.216599
41327;Pulau Pinang;5.285153;100.456238
41345;Sabah;5.420404;116.796783
41342;Sarawak;1.544765;110.365219
41326;Selangor;3.509247;101.524803
41361;Terengganu;5.3302002;103.1408005
